Build tool,Path,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,jakarta.activation,jakarta.activation-api,2.1.4,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.eclipse.angus,angus-activation,2.0.3,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.glassfish.jaxb,jaxb-runtime,4.0.2,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.glassfish.jaxb,jaxb-core,4.0.2,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.glassfish.jaxb,txw2,4.0.2,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.sun.istack,istack-commons-runtime,4.1.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.exist-db.thirdparty.javax.xml.xquery,xqjri,20080114-133351,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.jline,jline,4.3.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.jline,jansi,4.3.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,net.bytebuddy,byte-buddy,1.18.11,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,se.softhouse,jargo,0.4.14,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,commons-codec,commons-codec,1.22.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,commons-io,commons-io,2.22.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.apache.commons,commons-lang3,3.20.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,commons-logging,commons-logging,1.4.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.apache.commons,commons-pool2,2.13.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-api,2.26.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-core,2.26.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-jcl,2.26.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-jul,2.26.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-slf4j2-impl,2.26.1,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.exist-db.thirdparty.xerces,xercesImpl,2.12.2,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.codelibs,nekohtml,2.1.3,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.apache.ws.commons.util,ws-commons-util,1.0.2,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,xml-resolver,xml-resolver,1.2,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.xmlresolver,xmlresolver,6.0.23,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.exist-db.thirdparty.org.eclipse.wst.xml,xpath2,1.2.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,edu.princeton.cup,java-cup,10k,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,net.sf.saxon,Saxon-HE,12.5,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.evolvedbinary.thirdparty.org.apache.xmlrpc,xmlrpc-common,5.0.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.evolvedbinary.thirdparty.org.apache.xmlrpc,xmlrpc-client,5.0.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,com.evolvedbinary.thirdparty.org.apache.xmlrpc,xmlrpc-server,5.0.0,false,
Maven,exist-ant/pom.xml,org.exist-db,exist-ant,7.0.0-SNAPSHOT,org.aspectj,aspectjrt,1.9.25.1,false,
