Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,sameKey,try-catch,XPathException,log,Log4j,WARN
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType,toString,try-catch,XPathException,log,Log4j,ERROR
exist-core/src/main/java/org/exist/xquery/functions/map/AbstractMapType.java,org.exist.xquery.functions.map.AbstractMapType$AccessorFunc,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunEnvironment.java,org.exist.xquery.functions.fn.FunEnvironment,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunOnFunctions.java,org.exist.xquery.functions.fn.FunOnFunctions,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunOnFunctions.java,org.exist.xquery.functions.fn.FunOnFunctions,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunOnFunctions.java,org.exist.xquery.functions.fn.FunOnFunctions,eval,try-catch,Exception,custom,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunOnFunctions.java,org.exist.xquery.functions.fn.FunOnFunctions,eval,try-catch,XPathException,rethrow,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunOnFunctions.java,org.exist.xquery.functions.fn.FunOnFunctions,lookupFunction,try-catch,XPathException,recover,,
exist-core/src/main/java/org/exist/xquery/functions/fn/LoadXQueryModule.java,org.exist.xquery.functions.fn.LoadXQueryModule,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/LoadXQueryModule.java,org.exist.xquery.functions.fn.LoadXQueryModule,eval,try-catch,XPathException,wrap,,
exist-core/src/main/java/org/exist/xquery/functions/fn/LoadXQueryModule.java,org.exist.xquery.functions.fn.LoadXQueryModule,getModuleVariables,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/LoadXQueryModule.java,org.exist.xquery.functions.fn.LoadXQueryModule,getModuleVariables,try-catch,XPathException,wrap,,
exist-core/src/main/java/org/exist/xquery/functions/fn/LoadXQueryModule.java,org.exist.xquery.functions.fn.LoadXQueryModule,getModuleFunctions,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/LoadXQueryModule.java,org.exist.xquery.functions.fn.LoadXQueryModule,setExternalVars,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/LoadXQueryModule.java,org.exist.xquery.functions.fn.LoadXQueryModule,addFunctionRefsFromModule,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunUnordered.java,org.exist.xquery.functions.fn.FunUnordered,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunUnordered.java,org.exist.xquery.functions.fn.FunUnordered,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunSort.java,org.exist.xquery.functions.fn.FunSort,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunSort.java,org.exist.xquery.functions.fn.FunSort,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunSort.java,org.exist.xquery.functions.fn.FunSort,sort,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunSort.java,org.exist.xquery.functions.fn.FunSort,sort,try-catch,FunSort.FnSortComparator.SortCompareException,rethrow,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunSort.java,org.exist.xquery.functions.fn.FunSort$FnSortComparator,compare,try-catch,XPathException,wrap,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunSort.java,org.exist.xquery.functions.fn.FunSort$FnSortComparator$SortCompareException,deepLessThan,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunSort.java,org.exist.xquery.functions.fn.FunSort$FnSortComparator$SortCompareException,collator,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunSort.java,org.exist.xquery.functions.fn.FunSort$FnSortComparator$SortCompareException,function,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunElementWithId.java,org.exist.xquery.functions.fn.FunElementWithId,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunElementWithId.java,org.exist.xquery.functions.fn.FunElementWithId,getId,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunElementWithId.java,org.exist.xquery.functions.fn.FunElementWithId,getId,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FnInnerMost.java,org.exist.xquery.functions.fn.FnInnerMost,eval,throws-declaration,XPathException,propagate,,
